# Renyi Entropy Data
# region_size=4
alpha,squeezing=0.0400,squeezing=0.0894,squeezing=0.2000,squeezing=0.4472,squeezing=1.0000
0.1,14.509124545125605,12.105947876513198,9.743059918602947,7.527708810830246,5.641423905511853
0.14949494949494951,13.27654710007139,10.873958401947496,8.513849322633337,6.309874524829372,4.459994315589682
0.198989898989899,12.461089565422219,10.059086839342683,7.701743719644647,5.509034801647347,3.6946323674807195
0.2484848484848485,11.867508684399871,9.466089883102967,7.111499306651314,4.929939838192819,3.150040836951241
0.297979797979798,11.410009613513173,9.00917269081063,6.65732100865256,4.486790290144991,2.7403887959569073
0.3474747474747475,11.04348868725031,8.643231641421782,6.294105202742095,4.134479798131086,2.4205526476894987
0.396969696969697,10.741432465295091,8.341753374059397,5.99533871266973,3.846493722006494,2.1640128462396886
0.44646464646464656,10.487015198485874,8.08791224471372,5.744196216926666,3.606006261700548,1.9539487655835668
0.49595959595959604,10.268947269646212,7.8704187579451315,5.52938863254635,3.4017285579716594,1.7790845576414294
0.5454545454545455,10.079326585822892,7.68137095085729,5.343014455745868,3.225759777606369,1.6315381842626706
0.594949494949495,9.912435802651698,7.515051610519109,5.1793569429961135,3.0723840811061165,1.5056166287101187
0.6444444444444445,9.764026384041705,7.36721232822764,5.034168136966381,2.937354483434919,1.3970983399047292
0.693939393939394,9.630870908856584,7.234625802286718,4.9042211489902705,2.8174450190156186,1.3027843143848878
0.7434343434343434,9.510471603109304,7.114794367673913,4.787018675660229,2.7101591836843295,1.2202057514491542
0.792929292929293,9.400864139464405,7.005753794168572,4.680596789951002,2.6135336866988124,1.1474272622017871
0.8424242424242425,9.3004818242683,6.905937472912574,4.583389125528302,2.5260026233689556,1.0829106874486307
0.891919191919192,9.20805934203523,6.81408016109031,4.494130622657442,2.446301228971635,1.0254186338279094
0.9414141414141415,9.122563150571922,6.729148377698848,4.411787927563026,2.3733962990365685,0.9739447702361299
0.990909090909091,9.043140269185308,6.650289192678517,4.335508186592219,2.306435011862209,0.9276625868622603
1.0404040404040407,8.969080027407022,6.576791976701557,4.264580801771125,2.2447067156610774,0.8858871547122383
1.0898989898989901,8.899785112015728,6.508059449305921,4.198408484926171,2.1876140144996965,0.848046202974929
1.1393939393939396,8.83474939043136,6.443585503374704,4.136485088015509,2.1346506286661584,0.813657979121642
1.188888888888889,8.773540741109457,6.382938036552369,4.078378440040265,2.0853842586065445,0.782314114617716
1.2383838383838386,8.71578762911573,6.325745527750736,4.023716928559475,2.0394431898145715,0.7536662304723993
1.287878787878788,8.661168513969237,6.27168644582261,3.9721789128311844,1.9965057254745853,0.7274153682771265
1.3373737373737375,8.60940342080983,6.220480821457375,3.9234842996245605,1.9562917779632951,0.7033035778796923
1.386868686868687,8.560247179113231,6.17188348652545,3.8773877859517674,1.9185561236964408,0.681107166841449
1.4363636363636367,8.513483957738758,6.125678609664326,3.8336733975519466,1.8830829504908215,0.6606312417485952
1.4858585858585862,8.468922815764833,6.081675247570472,3.7921500426402264,1.8496814173390952,0.6417052621827725
1.5353535353535357,8.426394055272258,6.039703698166766,3.7526478671431196,1.8181820132130349,0.6241793947534612
1.5848484848484852,8.385746211782372,5.999612491362236,3.7150152471878513,1.7884335510439529,0.6079215039485402
1.6343434343434347,8.346843555183504,5.961265890246479,3.67911629173551,1.760300670124266,0.592814653462219
1.6838383838383841,8.309564002022134,5.924541803603367,3.644828756285743,1.733661748177923,0.5787550194835157
1.7333333333333336,8.273797361376099,5.889330031968545,3.612042289915695,1.7084071456456258,0.5656501385729603
1.782828282828283,8.239443852881257,5.855530785808441,3.5806569542641093,1.6844377210423824,0.5534174289442128
1.8323232323232326,8.206412848098594,5.82305342701315,3.550581965681468,1.6616635688202075,0.5419829364511045
1.881818181818182,8.17462179620175,5.791815394687713,3.521734621554951,1.6400029409247883,0.5312802662733671
1.9313131313131315,8.143995302612668,5.761741283873387,3.4940393794602063,1.6193813208494858,0.5212496688697775
1.9808080808080812,8.114464335220362,5.732762051837051,3.46742706379519,1.5997306249680625,0.5118372547257488
2.0303030303030307,8.085965537562947,5.70481433131158,3.4418341792931595,1.5809885106472035,0.5029943171375297
2.07979797979798,8.058440632121835,5.677839833838306,3.4172023145777874,1.5630977743867325,0.49467674602844314
2.1292929292929297,8.031835899886318,5.6517848293715796,3.3934776219301823,1.5460058262258525,0.48684451879729007
2.178787878787879,8.006101724761862,5.626599690720262,3.3706103618508036,1.5296642290529798,0.4794612566174546
2.2282828282828286,7.981192193343861,5.6022384933491,3.3485545029458876,1.514028293391547,0.472493836562082
2.277777777777778,7.957064742157896,5.578658662642051,3.327267369246013,1.4990567198021654,0.46591205152194215
2.3272727272727276,7.933679845754137,5.555820662015991,3.3067093283498306,1.4847112823185662,0.45968831118278175
2.376767676767677,7.9110007400964095,5.533687716326019,3.2868435148379596,1.4709565473796917,0.45379737839626233
2.4262626262626266,7.88899317655207,5.51222556586901,3.2676355842669023,1.4577596235793413,0.4482161361585099
2.475757575757576,7.867625202503683,5.491402247006899,3.249053493767048,1.4450899382641875,0.4429233811388836
2.5252525252525255,7.846866965196376,5.471187896023895,3.231067305861226,1.4329190375993892,0.43789964030720374
2.574747474747475,7.826690535928504,5.451554573325574,3.2136490126136015,1.4212204072111576,0.4331270077130936
2.6242424242424245,7.807069752106231,5.432476105500699,3.196772377631318,1.4099693109256317,0.42858899889444185
2.673737373737374,7.787980075029235,5.413927943113173,3.1804127937876734,1.399142645467724,0.42427042074781013
2.7232323232323234,7.769398461566959,5.3958870323836905,3.164547154827524,1.3887188092738976,0.4201572549937521
2.7727272727272734,7.751303248131889,5.378331699167739,3.1491537392625606,1.3786775838185057,0.4162365536239651
2.822222222222223,7.73367404556614,5.361241543846305,3.1342121051736713,1.3690000260620054,0.4124963449327693
2.8717171717171723,7.716491643736216,5.344597345924253,3.119702994716149,1.3596683708071993,0.40892554891896576
2.921212121212122,7.699737924783572,5.328380977284098,3.1056082472760784,1.3506659419018083,0.40551390100084966
2.9707070707070713,7.68339578410938,5.3125753231736015,3.091910720356967,1.3419770713561783,0.40225188312137966
3.0202020202020208,7.6674490582845145,5.297164210118282,3.0785942173882206,1.3335870255573081,0.39913066143575515
3.0696969696969703,7.6518824591727395,5.282132340046871,3.065643421743964,1.3254819378573666,0.3961420298728751
3.1191919191919197,7.636681513639093,5.267465230001701,3.0530438363446537,1.317648746898891,0.393278358947811
3.168686868686869,7.621832508288144,5.2531491568787905,3.040781728286599,1.3100751401117776,0.39053254927653464
3.2181818181818187,7.607322438740169,5.239171106705653,3.028844078007788,1.3027495018806967,0.38789798930843866
3.267676767676768,7.593138963008338,5.225518728019959,3.0172185325535077,1.2956608659370081,0.385368516848078
3.3171717171717177,7.579270358588308,5.212180288960465,3.0058933625534032,1.2887988715777474,0.38293838398628716
3.366666666666667,7.565705482913693,5.1991446377236885,2.994857422563808,1.2821537233568467,0.3806022251033577
3.4161616161616166,7.552433736868038,5.186401166076971,2.984100114466171,1.2757161539311468,0.378355027644218
3.465656565656566,7.539445031076397,5.173939775651043,2.9736113536449884,1.2694773897767464,0.37619210539820863
3.5151515151515156,7.526729754728413,5.161750846763995,2.9633815376973236,1.2634291195203546,0.3741090740447617
3.564646464646465,7.514278746710113,5.14982520955388,2.9534015174513493,1.2575634646560745,0.37210182875157455
3.6141414141414145,7.5020832688441175,5.138154117219627,2.943662570093798,1.2518729524408934,0.3701665236341767
